num_point,time_sort,time_convex,time_convex_pred,residual,,,
8836,0.0589993,0.092000008,0.063099339,0.004100039,,,
9025,0.063998699,0.093500376,0.064599132,0.000600433,,,
9216,0.063999891,0.0989995,0.066117956,0.002118065,,,
9409,0.06150198,0.096998215,0.067655844,0.006153864,,,
9604,0.063499212,0.104001045,0.069212828,0.005713616,,,
9801,0.06300354,0.101499081,0.070788942,0.007785402,,,
10000,0.069500685,0.104498863,0.072384215,0.00288353,,,
10201,0.067501068,0.106501341,0.073998681,0.006497613,,,
10404,0.07500124,0.112499714,0.075632371,0.000631131,,,
10609,0.067500353,0.110000134,0.077285315,0.009784962,,,
10816,0.070997953,0.116000891,0.078957544,0.007959591,,,
11025,0.073498487,0.119001389,0.080649088,0.007150601,,,
11236,0.071002007,0.116997004,0.082359979,0.011357972,,,
11449,0.0779984,0.122498989,0.084090244,0.006091844,,,
11664,0.076499939,0.128002405,0.085839915,0.009339976,,,
11881,0.075999022,0.122999907,0.08760902,0.011609998,,,
12100,0.08900094,0.133000851,0.089397588,0.000396648,,,
12321,0.085499763,0.128501177,0.091205647,0.005705884,,,
12544,0.082497597,0.13100028,0.093033227,0.01053563,,,
12769,0.092000484,0.132500648,0.094880356,0.002879872,,,
12996,0.091999769,0.138000727,0.096747061,0.004747292,,,
13225,0.093500137,0.142999411,0.09863337,0.005133233,,,
13456,0.08700037,0.13899827,0.100539311,0.013538941,,,
13689,0.096000433,0.142498016,0.10246491,0.006464477,,,
13924,0.093999386,0.150999546,0.104410195,0.010410809,,,
14161,0.089999437,0.147500515,0.106375193,0.016375756,,,
14400,0.101000786,0.15049839,0.10835993,0.007359144,,,
14641,0.095499277,0.152000666,0.110364432,0.014865155,,,
14884,0.104999304,0.160000086,0.112388726,0.007389422,,,
15129,0.102998972,0.156501055,0.114432837,0.011433865,,,
15376,0.105000257,0.157999992,0.116496791,0.011496534,,,
15625,0.103500366,0.161000967,0.118580614,0.015080248,,,
15876,0.110500336,0.162499428,0.12068433,0.010183994,,,
16129,0.10550046,0.165499687,0.122807965,0.017307505,,,
16384,0.118999481,0.169500113,0.124951544,0.005952063,,,
16641,0.122001886,0.173998117,0.127115091,0.005113205,,,
16900,0.122999907,0.173998833,0.12929863,0.006298723,,,
17161,0.119498014,0.176500082,0.131502187,0.012004173,,,
17424,0.126001835,0.183997631,0.133725785,0.00772395,,,
17689,0.117002249,0.181497335,0.135969448,0.018967199,,,
17956,0.118500948,0.186501503,0.138233199,0.019732251,,,
18225,0.131498575,0.195500851,0.140517063,0.009018488,,,
18496,0.128497362,0.192499876,0.142821062,0.0143237,,,
18769,0.124498844,0.194000244,0.145145221,0.020646377,,,
19044,0.133500814,0.196000814,0.147489561,0.013988747,,,
19321,0.130001068,0.19949913,0.149854106,0.019853038,,,
19600,0.1474967,0.201501608,0.152238878,0.004742178,,,
19881,0.151499987,0.213999748,0.1546439,0.003143913,,,
20164,0.137498856,0.20699954,0.157069195,0.019570339,,,
20449,0.147499084,0.22149992,0.159514784,0.0120157,,,
20736,0.144499302,0.219499826,0.16198069,0.017481388,,,
21025,0.150002241,0.21849823,0.164466934,0.014464693,,,
21316,0.161998034,0.226001978,0.166973539,0.004975505,,,
21609,0.160999775,0.23099947,0.169500526,0.008500751,,,
21904,0.173499346,0.238001108,0.172047915,-0.001451431,,,
22201,0.152499437,0.229500532,0.17461573,0.022116293,,,
22500,0.153501511,0.231498241,0.17720399,0.023702479,,,
22801,0.172997475,0.23549962,0.179812718,0.006815243,,,
23104,0.171999931,0.244500637,0.182441933,0.010442002,,,
23409,0.166000128,0.241000652,0.185091656,0.019091528,,,
23716,0.170498133,0.246000528,0.187761909,0.017263776,,,
24025,0.169999838,0.256500483,0.190452711,0.020452873,,,
24336,0.169999123,0.253500462,0.193164083,0.02316496,,,
24649,0.185499668,0.256499767,0.195896046,0.010396378,,,
24964,0.182999372,0.261000633,0.198648618,0.015649246,,,
25281,0.189998388,0.263500452,0.201421821,0.011423433,,,
25600,0.189500093,0.271000147,0.204215674,0.014715581,,,
25921,0.181998014,0.269999743,0.207030197,0.025032183,,,
26244,0.197999716,0.277001143,0.209865409,0.011865693,,,
26569,0.186502457,0.275997639,0.212721329,0.026218872,,,
26896,0.207502365,0.278498173,0.215597978,0.008095613,,,
27225,0.195999861,0.282000303,0.218495374,0.022495513,,,
27556,0.199000597,0.28550148,0.221413537,0.02241294,,,
27889,0.199001551,0.290498018,0.224352485,0.025350934,,,
28224,0.217000008,0.29150033,0.227312238,0.01031223,,,
28561,0.208000422,0.293999434,0.230292814,0.022292392,,,
28900,0.212499619,0.297501326,0.233294231,0.020794612,,,
29241,0.226500034,0.312500477,0.236316509,0.009816475,,,
29584,0.201500177,0.305499554,0.239359666,0.037859489,,,
29929,0.210499525,0.306998491,0.242423719,0.031924194,,,
30276,0.228000641,0.31049943,0.245508688,0.017508047,,,
30625,0.230000734,0.316998959,0.248614591,0.018613857,,,
30976,0.243998766,0.318499565,0.251741445,0.007742679,,,
31329,0.236499786,0.322999954,0.254889268,0.018389482,,,
31684,0.22949934,0.32399869,0.258058078,0.028558738,,,
32041,0.242499828,0.327998877,0.261247894,0.018748066,,,
32400,0.248002052,0.337998152,0.264458731,0.016456679,,,
32761,0.246501207,0.333500624,0.267690609,0.021189402,,,
33124,0.248501301,0.337999344,0.270943545,0.022442244,,,
33489,0.256000042,0.342498779,0.274217555,0.018217513,,,
33856,0.260501862,0.348998785,0.277512657,0.017010795,,,
34225,0.245001316,0.353998423,0.280828868,0.035827552,,,
34596,0.271499634,0.355998039,0.284166205,0.012666571,,,
34969,0.256999969,0.357999563,0.287524685,0.030524716,,,
35344,0.250499725,0.366998672,0.290904326,0.040404601,,,
35721,0.264000654,0.378999949,0.294305143,0.030304489,,,
36100,0.269499302,0.369501829,0.297727153,0.028227851,,,
36481,0.289000988,0.377000093,0.301170374,0.012169386,,,
36864,0.283999681,0.384501457,0.30463482,0.020635139,,,
37249,0.261999846,0.382000923,0.30812051,0.046120664,,,
37636,0.265000582,0.388001204,0.311627459,0.046626877,,,
38025,0.286499023,0.395503044,0.315155684,0.028656661,,,
38416,0.288998365,0.396499634,0.3187052,0.029706835,,,
38809,0.291998625,0.399499655,0.322276024,0.030277399,,,
39204,0.289000511,0.40899992,0.325868171,0.03686766,,,
39601,0.334998846,0.411499977,0.329481658,-0.005517188,,,
40000,0.289000988,0.415499926,0.333116501,0.044115513,,,
40401,0.311999798,0.420000076,0.336772715,0.024772917,,,
40804,0.297500134,0.421501875,0.340450316,0.042950182,,,
41209,0.303998709,0.42650032,0.344149319,0.04015061,,,
41616,0.311999559,0.433500051,0.347869741,0.035870182,,,
42025,0.335498571,0.432500601,0.351611595,0.016113024,,,
42436,0.323998213,0.44149971,0.355374899,0.031376686,,,
42849,0.317999601,0.441999435,0.359159667,0.041160066,,,
43264,0.344500303,0.458999634,0.362965914,0.018465611,,,
43681,0.33700037,0.4529984,0.366793656,0.029793286,,,
44100,0.349000692,0.45650053,0.370642907,0.021642215,,,
44521,0.346999645,0.461500883,0.374513683,0.027514038,,,
44944,0.330999851,0.471500874,0.378405998,0.047406147,,,
45369,0.336497784,0.478999853,0.382319868,0.045822084,,,
45796,0.356999397,0.476000786,0.386255307,0.02925591,,,
46225,0.360000372,0.478499889,0.39021233,0.030211958,,,
46656,0.374999762,0.486998081,0.394190952,0.01919119,,,
47089,0.384000778,0.494998455,0.398191187,0.014190409,,,
47524,0.389499903,0.496999979,0.402213049,0.012713146,,,
47961,0.402499914,0.50100112,0.406256554,0.00375664,,,
48400,0.414500713,0.508999586,0.410321715,-0.004178998,,,
48841,0.410999537,0.510999441,0.414408547,0.00340901,,,
49284,0.38749814,0.518999815,0.418517064,0.031018924,,,
49729,0.39000082,0.515999556,0.42264728,0.03264646,,,
50176,0.387501478,0.521498919,0.42679921,0.039297732,,,
50625,0.422002316,0.535498619,0.430972867,0.008970551,,,
51076,0.398999929,0.531002998,0.435168266,0.036168337,,,
51529,0.406502008,0.535498142,0.43938542,0.032883412,,,
51984,0.386500835,0.54399991,0.443624343,0.057123508,,,
52441,0.427999735,0.544000387,0.44788505,0.019885315,,,
52900,0.397500992,0.545997381,0.452167554,0.054666562,,,
53361,0.404001474,0.553999662,0.456471868,0.052470394,,,
53824,0.428001642,0.558997869,0.460798006,0.032796364,,,
54289,0.414500952,0.564001083,0.465145982,0.05064503,,,
54756,0.432998896,0.566500664,0.46951581,0.036516914,,,
55225,0.463001013,0.568999767,0.473907502,0.010906489,,,
55696,0.4339993,0.572500229,0.478321072,0.044321772,,,
56169,0.471500874,0.580999374,0.482756534,0.01125566,,,
56644,0.441000223,0.588499308,0.487213901,0.046213678,,,
57121,0.421500206,0.591501474,0.491693186,0.07019298,,,
57600,0.428501844,0.596500397,0.496194402,0.067692558,,,
58081,0.455500603,0.599998713,0.500717563,0.04521696,,,
58564,0.453001261,0.604498148,0.50526268,0.052261419,,,
59049,0.465000153,0.61049962,0.509829769,0.044829616,,,
59536,0.461500406,0.616500378,0.514418841,0.052918435,,,
60025,0.468997955,0.619501591,0.519029909,0.050031954,,,
60516,0.493999004,0.62549901,0.523662986,0.029663982,,,
61009,0.449499607,0.628000736,0.528318086,0.078818479,,,
61504,0.498501778,0.635497808,0.53299522,0.034493442,,,
62001,0.472999573,0.639999866,0.537694401,0.064694828,,,
62500,0.554999113,0.642500162,0.542415643,-0.01258347,,,
63001,0.473498821,0.651000977,0.547158958,0.073660137,,,
63504,0.532499075,0.653499365,0.551924357,0.019425282,,,
64009,0.500499964,0.656499863,0.556711855,0.056211891,,,
64516,0.523001909,0.659998178,0.561521462,0.038519553,,,
65025,0.491499186,0.670998573,0.566353193,0.074854007,,,
65536,0.538999557,0.667999983,0.571207058,0.032207501,,,
66049,0.518498898,0.679999828,0.57608307,0.057584172,,,
66564,0.516499519,0.683001757,0.580981242,0.064481723,,,
67081,0.540500402,0.692499876,0.585901586,0.045401184,,,
67600,0.536999702,0.698500156,0.590844113,0.053844411,,,
68121,0.522999763,0.702502251,0.595808837,0.072809074,,,
68644,0.53550148,0.70699954,0.600795769,0.065294289,,,
69169,0.529998779,0.718000412,0.60580492,0.075806141,,,
69696,0.573000193,0.716998816,0.610836304,0.037836111,,,
70225,0.598498821,0.724001408,0.615889932,0.017391111,,,
70756,0.553499937,0.728000402,0.620965816,0.067465879,,,
71289,0.548999071,0.736000061,0.626063967,0.077064896,,,
71824,0.613000154,0.738500118,0.631184398,0.018184244,,,
