num_point,time_sort,ycalc,res
23716,0.170498133,0.187761909,0.017263776
24025,0.169999838,0.190452711,0.020452873
24336,0.169999123,0.193164083,0.02316496
24649,0.185499668,0.195896046,0.010396378
24964,0.182999372,0.198648618,0.015649246
25281,0.189998388,0.201421821,0.011423433
25600,0.189500093,0.204215674,0.014715581
25921,0.181998014,0.207030197,0.025032183
26244,0.197999716,0.209865409,0.011865693
26569,0.186502457,0.212721329,0.026218872
26896,0.207502365,0.215597978,0.008095613
27225,0.195999861,0.218495374,0.022495513
27556,0.199000597,0.221413537,0.02241294
27889,0.199001551,0.224352485,0.025350934
28224,0.217000008,0.227312238,0.01031223
28561,0.208000422,0.230292814,0.022292392
28900,0.212499619,0.233294231,0.020794612
29241,0.226500034,0.236316509,0.009816475
29584,0.201500177,0.239359666,0.037859489
29929,0.210499525,0.242423719,0.031924194
30276,0.228000641,0.245508688,0.017508047
30625,0.230000734,0.248614591,0.018613857
30976,0.243998766,0.251741445,0.007742679
31329,0.236499786,0.254889268,0.018389482
31684,0.22949934,0.258058078,0.028558738
32041,0.242499828,0.261247894,0.018748066
32400,0.248002052,0.264458731,0.016456679
32761,0.246501207,0.267690609,0.021189402
33124,0.248501301,0.270943545,0.022442244
33489,0.256000042,0.274217555,0.018217513
33856,0.260501862,0.277512657,0.017010795
34225,0.245001316,0.280828868,0.035827552
34596,0.271499634,0.284166205,0.012666571
34969,0.256999969,0.287524685,0.030524716
35344,0.250499725,0.290904326,0.040404601
35721,0.264000654,0.294305143,0.030304489
36100,0.269499302,0.297727153,0.028227851
36481,0.289000988,0.301170374,0.012169386
36864,0.283999681,0.30463482,0.020635139
37249,0.261999846,0.30812051,0.046120664
37636,0.265000582,0.311627459,0.046626877
38025,0.286499023,0.315155684,0.028656661
38416,0.288998365,0.3187052,0.029706835
38809,0.291998625,0.322276024,0.030277399
39204,0.289000511,0.325868171,0.03686766
39601,0.334998846,0.329481658,-0.005517188
40000,0.289000988,0.333116501,0.044115513
40401,0.311999798,0.336772715,0.024772917
40804,0.297500134,0.340450316,0.042950182
41209,0.303998709,0.344149319,0.04015061
41616,0.311999559,0.347869741,0.035870182
42025,0.335498571,0.351611595,0.016113024
42436,0.323998213,0.355374899,0.031376686
42849,0.317999601,0.359159667,0.041160066
43264,0.344500303,0.362965914,0.018465611
43681,0.33700037,0.366793656,0.029793286
44100,0.349000692,0.370642907,0.021642215
44521,0.346999645,0.374513683,0.027514038
44944,0.330999851,0.378405998,0.047406147
45369,0.336497784,0.382319868,0.045822084
45796,0.356999397,0.386255307,0.02925591
46225,0.360000372,0.39021233,0.030211958
46656,0.374999762,0.394190952,0.01919119
47089,0.384000778,0.398191187,0.014190409
47524,0.389499903,0.402213049,0.012713146
47961,0.402499914,0.406256554,0.00375664
48400,0.414500713,0.410321715,-0.004178998
48841,0.410999537,0.414408547,0.00340901
49284,0.38749814,0.418517064,0.031018924
49729,0.39000082,0.42264728,0.03264646
50176,0.387501478,0.42679921,0.039297732
50625,0.422002316,0.430972867,0.008970551
51076,0.398999929,0.435168266,0.036168337
51529,0.406502008,0.43938542,0.032883412
51984,0.386500835,0.443624343,0.057123508
52441,0.427999735,0.44788505,0.019885315
52900,0.397500992,0.452167554,0.054666562
53361,0.404001474,0.456471868,0.052470394
53824,0.428001642,0.460798006,0.032796364
54289,0.414500952,0.465145982,0.05064503
54756,0.432998896,0.46951581,0.036516914
55225,0.463001013,0.473907502,0.010906489
55696,0.4339993,0.478321072,0.044321772
56169,0.471500874,0.482756534,0.01125566
56644,0.441000223,0.487213901,0.046213678
57121,0.421500206,0.491693186,0.07019298
57600,0.428501844,0.496194402,0.067692558
58081,0.455500603,0.500717563,0.04521696
58564,0.453001261,0.50526268,0.052261419
59049,0.465000153,0.509829769,0.044829616
59536,0.461500406,0.514418841,0.052918435
60025,0.468997955,0.519029909,0.050031954
60516,0.493999004,0.523662986,0.029663982
61009,0.449499607,0.528318086,0.078818479
61504,0.498501778,0.53299522,0.034493442
62001,0.472999573,0.537694401,0.064694828
62500,0.554999113,0.542415643,-0.01258347
63001,0.473498821,0.547158958,0.073660137
63504,0.532499075,0.551924357,0.019425282
64009,0.500499964,0.556711855,0.056211891
64516,0.523001909,0.561521462,0.038519553
65025,0.491499186,0.566353193,0.074854007
65536,0.538999557,0.571207058,0.032207501
66049,0.518498898,0.57608307,0.057584172
66564,0.516499519,0.580981242,0.064481723
67081,0.540500402,0.585901586,0.045401184
67600,0.536999702,0.590844113,0.053844411
68121,0.522999763,0.595808837,0.072809074
68644,0.53550148,0.600795769,0.065294289
69169,0.529998779,0.60580492,0.075806141
69696,0.573000193,0.610836304,0.037836111
70225,0.598498821,0.615889932,0.017391111
70756,0.553499937,0.620965816,0.067465879
71289,0.548999071,0.626063967,0.077064896
71824,0.613000154,0.631184398,0.018184244
72361,0.567499638,0.63632712,0.068827482
72900,0.603500128,0.641492145,0.037992017
73441,0.588997841,0.646679485,0.057681644
73984,0.594000101,0.651889151,0.05788905
74529,0.591001034,0.657121155,0.066120121
75076,0.608497381,0.662375508,0.053878127
75625,0.596502066,0.667652223,0.071150157
76176,0.620499849,0.672951309,0.05245146
76729,0.651500225,0.678272779,0.026772554
77284,0.613499403,0.683616645,0.070117242
77841,0.630499363,0.688982916,0.058483553
78400,0.627000093,0.694371606,0.067371513
78961,0.624498844,0.699782724,0.07528388
79524,0.628498554,0.705216283,0.076717729
80089,0.657001257,0.710672293,0.053671036
80656,0.625498295,0.716150765,0.09065247
81225,0.712999582,0.721651711,0.008652129
81796,0.659500599,0.727175142,0.067674543
82369,0.646999598,0.732721068,0.08572147
82944,0.685999393,0.738289501,0.052290108
83521,0.693497658,0.743880451,0.050382793
84100,0.736500502,0.74949393,0.012993428
84681,0.68849802,0.755129948,0.066631928
85264,0.665500164,0.760788516,0.095288352
85849,0.719998837,0.766469645,0.046470808
86436,0.696997404,0.772173346,0.075175942
87025,0.690001249,0.777899629,0.08789838
87616,0.690999746,0.783648505,0.092648759
88209,0.736999512,0.789419985,0.052420473
88804,0.714998007,0.795214079,0.080216072
89401,0.743499517,0.801030798,0.057531281
90000,0.747000217,0.806870152,0.059869935
90601,0.741499186,0.812732152,0.071232966
91204,0.732000351,0.818616808,0.086616457
91809,0.751500368,0.824524131,0.073023763
92416,0.729499817,0.830454131,0.100954314
93025,0.763499737,0.836406819,0.072907082
93636,0.737502098,0.842382205,0.104880107
94249,0.788998604,0.848380298,0.059381694
94864,0.801999807,0.85440111,0.052401303
95481,0.79150033,0.860444651,0.068944321
96100,0.829000711,0.86651093,0.037510219
96721,0.80299902,0.872599958,0.069600938
97344,0.80799818,0.878711746,0.070713566
97969,0.858999014,0.884846302,0.025847288
98596,0.794498205,0.891003638,0.096505433
99225,0.830998182,0.897183763,0.066185581
99856,0.822502136,0.903386687,0.080884551
100489,0.836499691,0.90961242,0.073112729
101124,0.84349966,0.915860973,0.072361313
101761,0.826500416,0.922132354,0.095631938
102400,0.841499567,0.928426575,0.086927008
103041,0.847999811,0.934743644,0.086743833
103684,0.875501871,0.941083571,0.0655817
104329,0.895499229,0.947446367,0.051947138
104976,0.868500471,0.953832041,0.08533157
105625,0.909501314,0.960240603,0.050739289
106276,0.863998413,0.966672063,0.10267365
106929,0.874999046,0.973126429,0.098127383
107584,0.955999613,0.979603712,0.023604099
108241,0.928999424,0.986103922,0.057104498
108900,0.902500391,0.992627068,0.090126677
109561,0.947499514,0.999173159,0.051673645
110224,0.953999758,1.005742205,0.051742447
110889,0.891999483,1.012334215,0.120334732
111556,0.932499886,1.0189492,0.086449314
112225,0.897501469,1.025587167,0.128085698
112896,0.991500378,1.032248128,0.04074775
113569,0.945000887,1.03893209,0.093931203
114244,1.180002213,1.045639064,-0.134363149
114921,1.008496523,1.052369059,0.043872536
115600,0.986998558,1.059122084,0.072123526
116281,1.030999899,1.065898148,0.034898249
116964,0.990001917,1.072697261,0.082695344
117649,1.024500847,1.079519432,0.055018585
118336,1.006999731,1.086364669,0.079364938
119025,1.032000542,1.093232983,0.061232441
119716,1.06099987,1.100124381,0.039124511
120409,1.051998377,1.107038874,0.055040497
121104,1.009499788,1.113976471,0.104476683
121801,1.07949996,1.12093718,0.04143722
122500,1.034497499,1.12792101,0.093423511
123201,1.020503283,1.134927971,0.114424688
123904,1.091501236,1.141958071,0.050456835
124609,1.060504436,1.14901132,0.088506884
125316,1.11349988,1.156087725,0.042587845
126025,1.053998709,1.163187297,0.109188588
126736,1.116999865,1.170310045,0.05331018
127449,1.1235044,1.177455975,0.053951575
128164,1.114499331,1.184625099,0.070125768
128881,1.112499475,1.191817424,0.079317949
129600,1.123500109,1.199032959,0.07553285
130321,1.119502544,1.206271714,0.08676917
131044,1.141497135,1.213533696,0.072036561
131769,1.08949995,1.220818914,0.131318964
132496,1.174992085,1.228127378,0.053135293
133225,1.188499451,1.235459095,0.046959644
133956,1.190998554,1.242814075,0.051815521
134689,1.164999723,1.250192326,0.085192603
135424,1.157000065,1.257593856,0.100593791
136161,1.143498182,1.265018674,0.121520492
136900,1.203499556,1.272466789,0.068967233
137641,1.213500738,1.279938209,0.066437471
138384,1.197492599,1.287432943,0.089940344
139129,1.189499617,1.294950998,0.105451381
139876,1.231501102,1.302492385,0.070991283
140625,1.281499624,1.31005711,0.028557486
141376,1.278499126,1.317645183,0.039146057
142129,1.242001295,1.325256611,0.083255316
142884,1.250501156,1.332891403,0.082390247
143641,1.253499985,1.340549568,0.087049583
144400,1.311499834,1.348231113,0.036731279
145161,1.276000738,1.355936047,0.079935309
145924,1.281498671,1.363664379,0.082165708
146689,1.282499552,1.371416116,0.088916564
147456,1.289000273,1.379191267,0.090190994
148225,1.445499182,1.386989839,-0.058509343
148996,1.375999451,1.394811842,0.018812391
149769,1.308999777,1.402657283,0.093657506
150544,1.357998371,1.41052617,0.052527799
151321,1.309000015,1.418418512,0.109418497
152100,1.323999166,1.426334316,0.10233515
152881,1.330999136,1.434273591,0.103274455
153664,1.37199831,1.442236345,0.070238035
154449,1.343500376,1.450222585,0.106722209
155236,1.340998411,1.45823232,0.117233909
156025,1.391498804,1.466265557,0.074766753
